bin,hit_count,miss_count
0.0000,0,0
0.0250,0,0
0.0500,0,0
0.0750,0,0
0.1000,0,0
0.1250,0,0
0.1500,0,0
0.1750,0,0
0.2000,0,0
0.2250,0,0
0.2500,0,0
0.2750,0,0
0.3000,0,0
0.3250,0,0
0.3500,0,0
0.3750,0,0
0.4000,0,2
0.4250,0,0
0.4500,0,0
0.4750,1,0
0.5000,2,0
0.5250,3,0
0.5500,0,0
0.5750,2,0
0.6000,7,0
0.6250,6,0
0.6500,6,0
0.6750,12,0
0.7000,6,0
0.7250,11,0
0.7500,9,0
0.7750,13,0
0.8000,5,0
0.8250,3,0
0.8500,4,0
0.8750,0,0
0.9000,0,0
0.9250,0,0
0.9500,0,0
0.9750,0,0
1.0000,0,0
