epoch,loss,lr,fmr,pos_sim,pos_upper,pos_lower,neg_sim,neg_upper,neg_lower,threshold,top1_acc,real_top1
1,46.773854291327645,0.05,90.32232232232232,0.11039025336503983,0.27096641808748245,-0.0501859113574028,0.013010966591536999,0.13413630705326796,-0.10811437387019396,-0.1499049961566925,7.9,
2,46.81380816486394,0.1,87.01051051051051,0.16257351636886597,0.3040904998779297,0.021056532859802246,0.038192011415958405,0.12689708173274994,-0.05051305890083313,-0.06146080046892166,19.2,
3,45.1636685255532,0.0965814506539832,52.34064064064064,0.2645159065723419,0.4252367913722992,0.10379502177238464,0.011391785927116871,0.09170651901513338,-0.06892294716089964,0.0039061326533555984,53.0,
4,42.692206364925774,0.09322235434007123,25.07167167167167,0.40483444929122925,0.5802163630723953,0.22945253551006317,0.03954483941197395,0.13049472495913506,-0.05140504613518715,0.09802356362342834,73.0,
5,39.8469671801986,0.08992271105826377,8.696496496496495,0.4910326600074768,0.664717435836792,0.3173478841781616,0.0389142781496048,0.13048197329044342,-0.052653416991233826,0.1664113998413086,85.39999999999999,42.391304347826086
6,37.634263653621495,0.0866825208085613,1.9292292292292295,0.5260621309280396,0.6887619942426682,0.36336226761341095,0.027809958904981613,0.11694307252764702,-0.06132315471768379,0.22327332198619843,90.10000000000001,
7,36.00296467041301,0.08350178359096325,0.7345345345345345,0.5611143708229065,0.7236263453960419,0.3986023962497711,0.015843432396650314,0.10624634847044945,-0.07455948367714882,0.2543370723724365,93.30000000000001,
8,34.598054787822974,0.08038049940546957,0.12262262262262263,0.5932026505470276,0.7419130504131317,0.44449225068092346,0.014122209511697292,0.10299124475568533,-0.07474682573229074,0.3168174624443054,96.6,
9,33.45362430643812,0.07731866825208066,0.08768768768768768,0.6103383302688599,0.7561724781990051,0.4645041823387146,0.023892812430858612,0.11409591883420944,-0.06631029397249222,0.34333336353302,96.5,
10,32.416473103460866,0.07431629013079685,0.05335335335335335,0.6350558996200562,0.7734758704900742,0.49663592875003815,0.0292447991669178,0.12028420343995094,-0.06179460510611534,0.36806851625442505,98.0,50.0
11,31.305930351542536,0.0713733650416174,0.01941941941941942,0.6389058828353882,0.7781967520713806,0.49961501359939575,0.014726233668625355,0.10381266940385103,-0.07436020206660032,0.3933887481689453,98.4,
12,30.296150372407148,0.06848989298454261,0.017117117117117116,0.654829740524292,0.7907495200634003,0.5189099609851837,0.02024903893470764,0.11023459583520889,-0.06973651796579361,0.4020281732082367,98.5,
13,29.250030423993262,0.0656658739595723,0.013213213213213214,0.666269063949585,0.800394207239151,0.5321439206600189,0.018203753978013992,0.10767306014895439,-0.0712655521929264,0.41501832008361816,99.0,
14,28.504980880523398,0.06290130796670648,0.00950950950950951,0.6703077554702759,0.8031167536973953,0.5374987572431564,0.011479342356324196,0.09965270198881626,-0.07669401727616787,0.41958555579185486,99.4,
15,27.662353346280963,0.06019619500594539,0.008408408408408409,0.6718454957008362,0.8059820383787155,0.5377089530229568,0.011129181832075119,0.09934710338711739,-0.07708873972296715,0.42524272203445435,99.1,61.95652173913044
16,27.02762735669858,0.05755053507728899,0.006906906906906906,0.6826887130737305,0.8142806887626648,0.5510967373847961,0.011005979031324387,0.09903327748179436,-0.07702131941914558,0.4390031099319458,99.2,
17,26.179574128623322,0.05496432818073711,0.005805805805805806,0.6878710389137268,0.818889245390892,0.5568528324365616,0.008883094415068626,0.09697475098073483,-0.07920856215059757,0.4508022367954254,99.5,
18,25.458991826137648,0.05243757431629003,0.006106106106106107,0.6939869523048401,0.8247148096561432,0.563259094953537,0.01026164647191763,0.09758774098008871,-0.07706444803625345,0.45190978050231934,99.6,
19,24.80981025517544,0.04997027348394753,0.004404404404404405,0.7071347832679749,0.8343378156423569,0.5799317508935928,0.012440335936844349,0.10087136644870043,-0.07599069457501173,0.4625632166862488,99.3,
20,24.12996980631463,0.047562425683709796,0.005005005005005005,0.7031185030937195,0.8314300030469894,0.5748070031404495,0.008812413550913334,0.09618497733026743,-0.07856015022844076,0.4661560356616974,99.4,66.30434782608695
21,23.501901216596085,0.045214030915576575,0.004204204204204204,0.7104408144950867,0.8353364542126656,0.5855451747775078,0.012082500383257866,0.09960006736218929,-0.07543506659567356,0.47279977798461914,99.7,
22,22.96329398467162,0.0429250891795481,0.0034034034034034033,0.716705322265625,0.8399069607257843,0.5935036838054657,0.005876751616597176,0.09281755425035954,-0.08106405101716518,0.4901411533355713,99.5,
23,22.35890837250469,0.040695600475624316,0.0036036036036036037,0.7181233167648315,0.841104045510292,0.595142588019371,0.006770985666662455,0.09384904289618134,-0.08030707156285644,0.48861032724380493,99.8,
24,21.90626026759638,0.038525564803805055,0.004004004004004004,0.7215467095375061,0.8450614362955093,0.5980319827795029,0.006422243546694517,0.09317145450040698,-0.08032696740701795,0.4857310652732849,99.6,
25,21.285843443647725,0.03641498216409058,0.0033033033033033035,0.7246155142784119,0.8470757901668549,0.6021552383899689,0.007957391440868378,0.09517059475183487,-0.07925581187009811,0.49171745777130127,99.7,73.91304347826087
26,20.77761555609302,0.034363852556480605,0.0035035035035035035,0.7278518080711365,0.8506020158529282,0.6051016002893448,0.007725557312369347,0.0949081014841795,-0.0794569868594408,0.48644086718559265,99.8,
27,20.352510929107666,0.032372175980975165,0.0026026026026026027,0.7324509024620056,0.8523717373609543,0.612530067563057,0.006133942399173975,0.09256980428472161,-0.08030191948637366,0.5088886022567749,99.8,
28,19.756661905306522,0.030439952437574438,0.003003003003003003,0.7318615913391113,0.8516656756401062,0.6120575070381165,0.007067407947033644,0.09385890094563365,-0.07972408505156636,0.49983638525009155,99.8,
29,19.34651860566897,0.02856718192627841,0.0025025025025025025,0.7360153198242188,0.8547265604138374,0.6173040792346001,0.009802453219890594,0.09626426547765732,-0.07665935903787613,0.5165414810180664,99.8,
30,18.986368489042622,0.026753864447086922,0.0018018018018018018,0.7364587783813477,0.8563535585999489,0.6165639981627464,0.003411749377846718,0.08934936113655567,-0.08252586238086224,0.5149452686309814,99.6,72.82608695652173
31,18.557358498885254,0.025000000000000022,0.002002002002002002,0.7371882796287537,0.8567603677511215,0.6176161915063858,0.002313448116183281,0.08779464475810528,-0.08316774852573872,0.5104906558990479,99.7,
32,18.146379085344687,0.023305588585017904,0.002102102102102102,0.7403361201286316,0.8597921207547188,0.6208801195025444,0.003158826846629381,0.08937977673485875,-0.08306212304159999,0.5158951282501221,99.7,
33,17.662883049973818,0.021670630202140363,0.002002002002002002,0.7406020760536194,0.859304241836071,0.6218999102711678,0.002880177926272154,0.088721654843539,-0.08296129899099469,0.5156742930412292,99.8,
34,17.233631704455224,0.020095124851367524,0.0018018018018018018,0.743818998336792,0.8609039336442947,0.6267340630292892,0.002613093936815858,0.08837437280453742,-0.0831481849309057,0.5271829962730408,99.8,
35,16.927998914896886,0.018579072532699248,0.0016016016016016015,0.7451022267341614,0.8635595813393593,0.6266448721289635,0.003043665550649166,0.08912704046815634,-0.083039709366858,0.5226585865020752,99.8,78.26086956521739
36,16.55504994748909,0.01712247324613559,0.0019019019019019018,0.7463961243629456,0.8631458654999733,0.6296463832259178,0.0027344219852238894,0.0885820381809026,-0.08311319421045482,0.5224907398223877,99.8,
37,16.057542355261116,0.015725326991676614,0.0015015015015015015,0.7475996613502502,0.8635806515812874,0.6316186711192131,0.0025551263242959976,0.08775916881859303,-0.08264891617000103,0.5345574617385864,99.8,
38,15.767114850962274,0.014387633769322266,0.0015015015015015015,0.7475326061248779,0.8642204850912094,0.6308447271585464,0.0039361449889838696,0.08946685073897243,-0.08159456076100469,0.5302470922470093,99.8,
39,15.498520458970114,0.013109393579072544,0.0014014014014014015,0.7497766017913818,0.8664815500378609,0.6330716535449028,0.002801312366500497,0.08868403569795191,-0.08308141096495092,0.5317237377166748,99.8,
40,15.246643596720473,0.011890606420927501,0.0015015015015015015,0.7491823434829712,0.8666133359074593,0.6317513510584831,0.0024098381400108337,0.08818419277667999,-0.08336451649665833,0.5318891406059265,99.6,79.34782608695652
41,14.864320882012912,0.010731272294887056,0.0014014014014014015,0.7496674656867981,0.8666801676154137,0.6326547637581825,0.0019448966486379504,0.08806519664358348,-0.08417540334630758,0.5299158096313477,99.8,
42,14.60351868433373,0.009631391200951252,0.0016016016016016015,0.7521136999130249,0.8672674521803856,0.6369599476456642,0.0023116038646548986,0.08825846924446523,-0.08363526151515543,0.5348655581474304,99.8,
